Product Description,Brand Name,Liquer Volume,PACK SIZE,Category,Flavor,split_text
12/750 VINE LEAF PINOT GRIGIO   NV,VINE LEAF,750ML,12,,PINOT GRIGIO,"['12/750', 'VINE', 'LEAF', 'PINOT', 'GRIGIO', 'NV']"
12CN   WELLBEING HELLRAISER NA,,,,,,"['12CN', 'WELLBEING', 'HELLRAISER', 'NA']"
13 Stripes: Death to Kings 1/6 bbl,,,,,,"['13', 'Stripes:', 'Death', 'to', 'Kings', '1/6', 'bbl']"
13 Stripes: Fallen Hero IPA 1/6 bbl,,,,,,"['13', 'Stripes:', 'Fallen', 'Hero', 'IPA', '1/6', 'bbl']"
13 Stripes: Not My King 1/2 bbl,,,,,,"['13', 'Stripes:', 'Not', 'My', 'King', '1/2', 'bbl']"
13 Stripes: Not My King Lager 1/6 bbl,,,,,,"['13', 'Stripes:', 'Not', 'My', 'King', 'Lager', '1/6', 'bbl']"
13 Stripes: Sgt. Molly American Wheat 1/6 bbl,,,,,,"['13', 'Stripes:', 'Sgt.', 'Molly', 'American', 'Wheat', '1/6', 'bbl']"
16 bbl It Takes Two To Mango,,,,,,"['16', 'bbl', 'It', 'Takes', 'Two', 'To', 'Mango']"
16CN   DISKIN BOBS YOUR UNCLE,,,,,,"['16CN', 'DISKIN', 'BOBS', 'YOUR', 'UNCLE']"
16CN   WELLBEING WANDERING ISLANDS,,,,,,"['16CN', 'WELLBEING', 'WANDERING', 'ISLANDS']"
1792 Single Barrel Bourbon,,,,,,"['1792', 'Single', 'Barrel', 'Bourbon']"
18 AWD CS SONOMA ESTATES 12/7,,,,,,"['18', 'AWD', 'CS', 'SONOMA', 'ESTATES', '12/7']"
18 LK CAB SAUV SPM 3/7 WD,,,,,,"['18', 'LK', 'CAB', 'SAUV', 'SPM', '3/7', 'WD']"
18 PAW PN YAMHILL-CARLTON 12/7,,,,,,"['18', 'PAW', 'PN', 'YAMHILL-CARLTON', '12/7']"
18 ST CHARD UPPER BARN 6/7,,,,,,"['18', 'ST', 'CHARD', 'UPPER', 'BARN', '6/7']"
18 VER LA JOIE 3/7 WD,,,,,,"['18', 'VER', 'LA', 'JOIE', '3/7', 'WD']"
18 VER LE DESIR 3/7 WD,,,,,,"['18', 'VER', 'LE', 'DESIR', '3/7', 'WD']"
187 ML MUMM NAPA VLY BRUT PRESTIGE,,,,,,"['187', 'ML', 'MUMM', 'NAPA', 'VLY', 'BRUT', 'PRESTIGE']"
187ML  BARIANO PROSECCO,,,,,,"['187ML', 'BARIANO', 'PROSECCO']"
187ML  NIC FEUILLATTE ROSE BRUT,,,,,,"['187ML', 'NIC', 'FEUILLATTE', 'ROSE', 'BRUT']"
187ML  POL CLEMENT BRUT,,,,,,"['187ML', 'POL', 'CLEMENT', 'BRUT']"
187ML  ZONIN SPARKLIN PROSECCO 8/3PK,,,,,,"['187ML', 'ZONIN', 'SPARKLIN', 'PROSECCO', '8/3PK']"
19 AN CAB SAUV MONTANA 6/7,,,,,,"['19', 'AN', 'CAB', 'SAUV', 'MONTANA', '6/7']"
19 Crimes Red Wine,,,,,,"['19', 'Crimes', 'Red', 'Wine']"
1L     RUMCHATA ORIGINAL,,,,,,"['1L', 'RUMCHATA', 'ORIGINAL']"
2 GINGERS IRISH WHSKY,,,,,,"['2', 'GINGERS', 'IRISH', 'WHSKY']"
20 TABLAS COTES DE TBLS  BLANC,,,,,,"['20', 'TABLAS', 'COTES', 'DE', 'TBLS', 'BLANC']"
20 TABLAS ESPRIT DE TABLAS BLC,,,,,,"['20', 'TABLAS', 'ESPRIT', 'DE', 'TABLAS', 'BLC']"
2015 Lanciola Masse Greve Chi Class,,,,,,"['2015', 'Lanciola', 'Masse', 'Greve', 'Chi', 'Class']"
2017 Borsao Berola,,,,,,"['2017', 'Borsao', 'Berola']"
2018 Alfred Graf Erd Trepp Ries Spat,,,,,,"['2018', 'Alfred', 'Graf', 'Erd', 'Trepp', 'Ries', 'Spat']"
2018 Apaltagua Reserva Pinot Noir 37,,,,,,"['2018', 'Apaltagua', 'Reserva', 'Pinot', 'Noir', '37']"
2018 Borsao Berola,,,,,,"['2018', 'Borsao', 'Berola']"
2018 Clic Merlot,,,,,,"['2018', 'Clic', 'Merlot']"
2018 Matthew Fritz Cab Sauvignon,,,,,,"['2018', 'Matthew', 'Fritz', 'Cab', 'Sauvignon']"
2018 Skipstone Winery Preface Red Blend,,,,,,"['2018', 'Skipstone', 'Winery', 'Preface', 'Red', 'Blend']"
2018 Tommasi Le Prunee Merlot,,,,,,"['2018', 'Tommasi', 'Le', 'Prunee', 'Merlot']"
