Product Description,Brand Name,Liquer Volume,PACK SIZE,Category,Flavor,split_text
Joel Gott Monterey Chardonnay,,,,,,"['Joel', 'Gott', 'Monterey', 'Chardonnay']"
Joel Gott Pinot Noir California,,,,,,"['Joel', 'Gott', 'Pinot', 'Noir', 'California']"
JOEL GOTT RED PALISADES 750ML,,,,,,"['JOEL', 'GOTT', 'RED', 'PALISADES', '750ML']"
Joel Gott Sauvignon Blanc,,,,,,"['Joel', 'Gott', 'Sauvignon', 'Blanc']"
JOEL GOTT SAUVIGNON BLANC CA(SC)20 375ML,,,,,,"['JOEL', 'GOTT', 'SAUVIGNON', 'BLANC', 'CA(SC)20', '375ML']"
JOHN D TAYLOR'S VELVET FALERNU,,,,,,"['JOHN', 'D', ""TAYLOR'S"", 'VELVET', 'FALERNU']"
John E Fitzgerald Larceny Small Batch Kentucky Straight Bourbon Whiskey,,,,,,"['John', 'E', 'Fitzgerald', 'Larceny', 'Small', 'Batch', 'Kentucky', 'Straight', 'Bourbon', 'Whiskey']"
JOLEE ROSE SEMI SPARKLING 20/21,,,,,,"['JOLEE', 'ROSE', 'SEMI', 'SPARKLING', '20/21']"
JOLEE ROSE SEMI SPARKLING 21,,,,,,"['JOLEE', 'ROSE', 'SEMI', 'SPARKLING', '21']"
JOLEE ROSE SEMI SPARKLING 21/22,,,,,,"['JOLEE', 'ROSE', 'SEMI', 'SPARKLING', '21/22']"
Jordan Cabernet Sauvignon,,,,,,"['Jordan', 'Cabernet', 'Sauvignon']"
JOS DIGITAL ZOO CAN 6/4/12 OZ,,,,,,"['JOS', 'DIGITAL', 'ZOO', 'CAN', '6/4/12', 'OZ']"
JOS MYSTIC MAMA 1/2 BBL,,,,,,"['JOS', 'MYSTIC', 'MAMA', '1/2', 'BBL']"
JOS WHO COOKS FOR YOU 1/2 BBL,,,,,,"['JOS', 'WHO', 'COOKS', 'FOR', 'YOU', '1/2', 'BBL']"
JOS WHO COOKS FOR YOU 1/6 BBL,,,,,,"['JOS', 'WHO', 'COOKS', 'FOR', 'YOU', '1/6', 'BBL']"
JOS WHO COOKS FOR YOU CAN 4/6/12 OZ,,,,,,"['JOS', 'WHO', 'COOKS', 'FOR', 'YOU', 'CAN', '4/6/12', 'OZ']"
JOSEPH CARTRON VIOLETTE LIQUEUR,,,,,,"['JOSEPH', 'CARTRON', 'VIOLETTE', 'LIQUEUR']"
JOSEPH DROUHIN CHOREY-LES-BEAUNE,,,,,,"['JOSEPH', 'DROUHIN', 'CHOREY-LES-BEAUNE']"
JOSEPH DROUHIN MACON VILLAGES,,,,,,"['JOSEPH', 'DROUHIN', 'MACON', 'VILLAGES']"
JOSEPH DROUHIN MACON-LUGNY LES CRAYS,,,,,,"['JOSEPH', 'DROUHIN', 'MACON-LUGNY', 'LES', 'CRAYS']"
Joseph Drouhin Saint Veran,,,,,,"['Joseph', 'Drouhin', 'Saint', 'Veran']"
Jovino Pinot Noir,,,,,,"['Jovino', 'Pinot', 'Noir']"
JP CHENET BRUT BL DE BL 24PK,,,,,,"['JP', 'CHENET', 'BRUT', 'BL', 'DE', 'BL', '24PK']"
JUAREZ SILVER,,,,,,"['JUAREZ', 'SILVER']"
Juarez Tequila White,,,,,,"['Juarez', 'Tequila', 'White']"
Juarez Triple Sec,,,,,,"['Juarez', 'Triple', 'Sec']"
JUGGERNAUT CAB SAUV 1B 3L,,,,,,"['JUGGERNAUT', 'CAB', 'SAUV', '1B', '3L']"
Juggernaut Hillside Cabernet Sauvignon,,,,,,"['Juggernaut', 'Hillside', 'Cabernet', 'Sauvignon']"
JUGGERNAUT PINOT NOIR 19 750ML,,,,,,"['JUGGERNAUT', 'PINOT', 'NOIR', '19', '750ML']"
JUGGERNAUT PINOT NOIR 20 750ML,,,,,,"['JUGGERNAUT', 'PINOT', 'NOIR', '20', '750ML']"
JULES LOREN CUVEE BRUT RSV,,,,,,"['JULES', 'LOREN', 'CUVEE', 'BRUT', 'RSV']"
Just Snackin-Case 16oz. 4 packs,,,,,,"['Just', 'Snackin-Case', '16oz.', '4', 'packs']"
Justin Cabernet Sauvignon Paso Robles,,,,,,"['Justin', 'Cabernet', 'Sauvignon', 'Paso', 'Robles']"
Justin Isosceles,,,,,,"['Justin', 'Isosceles']"
Justin Rose,,,,,,"['Justin', 'Rose']"
JUSTIN SKELLY,,,,,,"['JUSTIN', 'SKELLY']"
Justin Vineyards & Winery Sauvignon Blanc,,,,,,"['Justin', 'Vineyards', '&', 'Winery', 'Sauvignon', 'Blanc']"
Kaiken Malbec,,,,,,"['Kaiken', 'Malbec']"
KAIKEN MALBEC RSV,,,,,,"['KAIKEN', 'MALBEC', 'RSV']"
Kaliber N/A,,,,,,"['Kaliber', 'N/A']"
KAPPA FLOUNDER - HAZY IPA 1/6 BBL KEG,,,,,,"['KAPPA', 'FLOUNDER', '-', 'HAZY', 'IPA', '1/6', 'BBL', 'KEG']"
KAR CRAWFORD BOCK 1/6 BBL,,,,,,"['KAR', 'CRAWFORD', 'BOCK', '1/6', 'BBL']"
KAR CRAWFORD# 1/6 BBL,,,,,,"['KAR', 'CRAWFORD#', '1/6', 'BBL']"
KAR LOVE STREET 1/6 BBL,,,,,,"['KAR', 'LOVE', 'STREET', '1/6', 'BBL']"
KAR YULE SHOOT YOUR EYE OUT 1/6 BBL,,,,,,"['KAR', 'YULE', 'SHOOT', 'YOUR', 'EYE', 'OUT', '1/6', 'BBL']"
Karl Strauss Red Trolley Ale 1/2 BBL,,,,,,"['Karl', 'Strauss', 'Red', 'Trolley', 'Ale', '1/2', 'BBL']"
Karma Probiotic Strawberry Lemonade,,,,,,"['Karma', 'Probiotic', 'Strawberry', 'Lemonade']"
KASTEEL NITRO BLOND 30LT,,,,,,"['KASTEEL', 'NITRO', 'BLOND', '30LT']"
ked in,,,,,,"['ked', 'in']"
Kedem Marsala,,,,,,"['Kedem', 'Marsala']"
KENTUCKY BLUEBERRY BARREL WHEAT 5.17,,,,,,"['KENTUCKY', 'BLUEBERRY', 'BARREL', 'WHEAT', '5.17']"
KENTUCKY BOURBON ALE 5.17,,,,,,"['KENTUCKY', 'BOURBON', 'ALE', '5.17']"
Kentucky Bourbon Barrel Ale,,,,,,"['Kentucky', 'Bourbon', 'Barrel', 'Ale']"
KENTUCKY COFFEE,,,,,,"['KENTUCKY', 'COFFEE']"
KENTUCKY DELUXE BLEND 80 LITER,,,,,,"['KENTUCKY', 'DELUXE', 'BLEND', '80', 'LITER']"
Kentucky Tavern,,,,,,"['Kentucky', 'Tavern']"
Kikori Whiskey,,,,,,"['Kikori', 'Whiskey']"
KIKORI WHISKEY 6PK   750ML,,,,,,"['KIKORI', 'WHISKEY', '6PK', '750ML']"
Killians Irish Red,,,,,,"['Killians', 'Irish', 'Red']"
KING EST P GRIS 12PK,,,,,,"['KING', 'EST', 'P', 'GRIS', '12PK']"
King Palm Monterey County Pinot Noir 12/750ml,,,,,,"['King', 'Palm', 'Monterey', 'County', 'Pinot', 'Noir', '12/750ml']"
Kirin Ichiban,,,,,,"['Kirin', 'Ichiban']"
KIRK AND SWEENEY 12Y,,,,,,"['KIRK', 'AND', 'SWEENEY', '12Y']"
Kistler Vds Chard LesNoisetier,,,,,,"['Kistler', 'Vds', 'Chard', 'LesNoisetier']"
Kistler Vds Pn Russian River V,,,,,,"['Kistler', 'Vds', 'Pn', 'Russian', 'River', 'V']"
Kite Hill: Frequency Modulated IPA 1/6 bbl,,,,,,"['Kite', 'Hill:', 'Frequency', 'Modulated', 'IPA', '1/6', 'bbl']"
Kite Hill: Passionate Blues Fruited Sour 1/6 bbl,,,,,,"['Kite', 'Hill:', 'Passionate', 'Blues', 'Fruited', 'Sour', '1/6', 'bbl']"
KNOTTY VINES PINOT NOIR(SC) 750ML,,,,,,"['KNOTTY', 'VINES', 'PINOT', 'NOIR(SC)', '750ML']"
KO BIG WAVE 1/6 BBL,,,,,,"['KO', 'BIG', 'WAVE', '1/6', 'BBL']"
Komos Anejo Cristalino Tequila,,,,,,"['Komos', 'Anejo', 'Cristalino', 'Tequila']"
KOMOS TEQ REP ROSA 6B 750ML,,,,,,"['KOMOS', 'TEQ', 'REP', 'ROSA', '6B', '750ML']"
KOMOS TEQUILA   REPOSADO ROSA 6/CS  750ML,,,,,,"['KOMOS', 'TEQUILA', 'REPOSADO', 'ROSA', '6/CS', '750ML']"
Korbel Brandy,,,,,,"['Korbel', 'Brandy']"
KORBEL CALIFORNIA BRANDY,,,,,,"['KORBEL', 'CALIFORNIA', 'BRANDY']"
KRIS ARTIST CUVEE PGRIGIO FH - CS12-750ML,,,,,,"['KRIS', 'ARTIST', 'CUVEE', 'PGRIGIO', 'FH', '-', 'CS12-750ML']"
KRUPNIKAS BROTHERS VILGALYS,,,,,,"['KRUPNIKAS', 'BROTHERS', 'VILGALYS']"
KS Boat Shoes Hazy IPA 1/2B,,,,,,"['KS', 'Boat', 'Shoes', 'Hazy', 'IPA', '1/2B']"
KS Follow the Sun Blonde 4/6/12oz btls,,,,,,"['KS', 'Follow', 'the', 'Sun', 'Blonde', '4/6/12oz', 'btls']"
L & E ANONYMOUS SBLANC 21 - CS12-750ML,,,,,,"['L', '&', 'E', 'ANONYMOUS', 'SBLANC', '21', '-', 'CS12-750ML']"
L & E INDECENT RED BLEND 17 4PK - CS24-355ML,,,,,,"['L', '&', 'E', 'INDECENT', 'RED', 'BLEND', '17', '4PK', '-', 'CS24-355ML']"
L & E INDECENT WHITE BLEND 16 4PK - CS24-355ML,,,,,,"['L', '&', 'E', 'INDECENT', 'WHITE', 'BLEND', '16', '4PK', '-', 'CS24-355ML']"
La Crema Chardonnay Monterey,LA CREMA,,,,CHARDONNAY,"['La', 'Crema', 'Chardonnay', 'Monterey']"
La Crema Chardonnay Sonoma,LA CREMA,,,,CHARDONNAY,"['La', 'Crema', 'Chardonnay', 'Sonoma']"
La Crema Monterey Pinot Gris,LA CREMA,,,,PINOT GRIS,"['La', 'Crema', 'Monterey', 'Pinot', 'Gris']"
La Crema Pinot Noir,LA CREMA,,,,PINOT NOIR,"['La', 'Crema', 'Pinot', 'Noir']"
La Crema Pinot Noir Monterey,LA CREMA,,,,PINOT NOIR,"['La', 'Crema', 'Pinot', 'Noir', 'Monterey']"
La Crema Pinot Noir Willamette Valley,LA CREMA,,,,PINOT NOIR,"['La', 'Crema', 'Pinot', 'Noir', 'Willamette', 'Valley']"
LA CREMA SAUV BL SON CST 750ML,LA CREMA,750ML,,,SAUVIGNON BLANC,"['LA', 'CREMA', 'SAUV', 'BL', 'SON', 'CST', '750ML']"
LA CREMA SON P NOIR,LA CREMA,,,,PINOT NOIR,"['LA', 'CREMA', 'SON', 'P', 'NOIR']"
LA CREMA SONOMA SAUVIGNON BLANC 12/750,LA CREMA,750ML,12,,SAUVIGNON BLANC,"['LA', 'CREMA', 'SONOMA', 'SAUVIGNON', 'BLANC', '12/750']"
La Fiera Montepulciano D Abruzzo,,,,,,"['La', 'Fiera', 'Montepulciano', 'D', 'Abruzzo']"
La Fiera Pinot Grigio,,,,,,"['La', 'Fiera', 'Pinot', 'Grigio']"
LA JOLIE FLEUR ROSE-V21,,,,,,"['LA', 'JOLIE', 'FLEUR', 'ROSE-V21']"
La Paz Mixes Grenadine Mix 6/1L,,,,,,"['La', 'Paz', 'Mixes', 'Grenadine', 'Mix', '6/1L']"
La Paz Sweet & Sour Mix 6/1L,,,,,,"['La', 'Paz', 'Sweet', '&', 'Sour', 'Mix', '6/1L']"
LA PERLINA MOSCATO ALUMINUM NV 12/375ML,,,,,,"['LA', 'PERLINA', 'MOSCATO', 'ALUMINUM', 'NV', '12/375ML']"
La Playa Sauvignon Blanc Estate Bottled,,,,,,"['La', 'Playa', 'Sauvignon', 'Blanc', 'Estate', 'Bottled']"
La Posta Cocina Tinto,,,,,,"['La', 'Posta', 'Cocina', 'Tinto']"
La Posta Paulucci Malbec,,,,,,"['La', 'Posta', 'Paulucci', 'Malbec']"
La Quiere Strawberry Mix 12/32oz,,,,,,"['La', 'Quiere', 'Strawberry', 'Mix', '12/32oz']"
LA TRAPPE P.W.U. PREACH 20LT,,,,,,"['LA', 'TRAPPE', 'P.W.U.', 'PREACH', '20LT']"
La Vieille Ferme Rose,,,,,,"['La', 'Vieille', 'Ferme', 'Rose']"
LABATT BIGDEAL 16OZ CAN 4/6,,,,,,"['LABATT', 'BIGDEAL', '16OZ', 'CAN', '4/6']"
Labatt Blue,,,,,,"['Labatt', 'Blue']"
Labatt Blue 1/2 BBL,,,,,,"['Labatt', 'Blue', '1/2', 'BBL']"
LABATT BLUE 16OZ CAN 4/6,,,,,,"['LABATT', 'BLUE', '16OZ', 'CAN', '4/6']"
LABATT DRAFT 1/2B,,,,,,"['LABATT', 'DRAFT', '1/2B']"
LAG HOP REFRSH B24 12OZ 4P,,,,,,"['LAG', 'HOP', 'REFRSH', 'B24', '12OZ', '4P']"
LAG IPA 2/12/12 CN,,,,,,"['LAG', 'IPA', '2/12/12', 'CN']"
LAG IPA C24 12OZ 6P,,,,,,"['LAG', 'IPA', 'C24', '12OZ', '6P']"
LAG IPNA B24 12OZ 6P,,,,,,"['LAG', 'IPNA', 'B24', '12OZ', '6P']"
LAGER DAYS CASE - 3X8 - 16OZ - CAN,,,,,,"['LAGER', 'DAYS', 'CASE', '-', '3X8', '-', '16OZ', '-', 'CAN']"
LAGER DAYS KEG - 1/2 BBL,,,,,,"['LAGER', 'DAYS', 'KEG', '-', '1/2', 'BBL']"
LAGER DAYS KEG - 1/6 BBL,,,,,,"['LAGER', 'DAYS', 'KEG', '-', '1/6', 'BBL']"
LAGERHEADS BARN 4/6 CN,,,,,,"['LAGERHEADS', 'BARN', '4/6', 'CN']"
LAGERHEADS BED HEAD 4/6CN,,,,,,"['LAGERHEADS', 'BED', 'HEAD', '4/6CN']"
LAKEFRONT LA GOSA RITA 20L,,,,,,"['LAKEFRONT', 'LA', 'GOSA', 'RITA', '20L']"
Lakefront New Grist Ginger,,,,,,"['Lakefront', 'New', 'Grist', 'Ginger']"
LAKEFRONT PUMPKIN LAGER 20L,,,,,,"['LAKEFRONT', 'PUMPKIN', 'LAGER', '20L']"
LALO BLANCO TEQ 6PK,,,,,,"['LALO', 'BLANCO', 'TEQ', '6PK']"
Lalo Blanco Tequila 6/750ml,,,,,,"['Lalo', 'Blanco', 'Tequila', '6/750ml']"
LAND GRANT SNL 1/6BBL LEMON,,,,,,"['LAND', 'GRANT', 'SNL', '1/6BBL', 'LEMON']"
LANSING BREWING ANGRY MAYOR IPA 1/6 BBL,,,,,,"['LANSING', 'BREWING', 'ANGRY', 'MAYOR', 'IPA', '1/6', 'BBL']"
LAPIS LUNA ZIN 20 - CS12-750ML,,,,,,"['LAPIS', 'LUNA', 'ZIN', '20', '-', 'CS12-750ML']"
LAPOSTOLLE PISCO BLANCO 6PK 80PF,,,,,,"['LAPOSTOLLE', 'PISCO', 'BLANCO', '6PK', '80PF']"
LARCENY,,,,,,['LARCENY']
LARCENY BARREL PROOF,,,,,,"['LARCENY', 'BARREL', 'PROOF']"
LARCENY BOURBON 1.0L,,,,,,"['LARCENY', 'BOURBON', '1.0L']"
LARGE 1516,,,,,,"['LARGE', '1516']"
LARGE BATTLEFIELD,,,,,,"['LARGE', 'BATTLEFIELD']"
LARGE HUMMIN'BIRD,,,,,,"['LARGE', ""HUMMIN'BIRD""]"
LARGE RED OAK,,,,,,"['LARGE', 'RED', 'OAK']"
Laurentia Vidal Grigio White Wine,,,,,,"['Laurentia', 'Vidal', 'Grigio', 'White', 'Wine']"
LAWS BRBN 4 GRAIN 95 6B 750ML,,,,,,"['LAWS', 'BRBN', '4', 'GRAIN', '95', '6B', '750ML']"
LAWS BRBN BONDED 100 6B 750ML,,,,,,"['LAWS', 'BRBN', 'BONDED', '100', '6B', '750ML']"
LAWS RYE BONDED 100 6B 750ML,,,,,,"['LAWS', 'RYE', 'BONDED', '100', '6B', '750ML']"
LAWS RYE SLV 95 6B 750ML,,,,,,"['LAWS', 'RYE', 'SLV', '95', '6B', '750ML']"
LAWS WHSKY BONDED WHEAT 100 6B 750ML,,,,,,"['LAWS', 'WHSKY', 'BONDED', 'WHEAT', '100', '6B', '750ML']"
LCO TANGERINE WHEAT CAN 4/6/12 OZ,,,,,,"['LCO', 'TANGERINE', 'WHEAT', 'CAN', '4/6/12', 'OZ']"
LE CHARMEL PINOT NOIR 19,,,,,,"['LE', 'CHARMEL', 'PINOT', 'NOIR', '19']"
Le Coeur de la Reine Touraine Sauvignon '20,,,,,,"['Le', 'Coeur', 'de', 'la', 'Reine', 'Touraine', 'Sauvignon', ""'20""]"
Leblon Cachaca,,,,,,"['Leblon', 'Cachaca']"
Left Coast The Orchards Pinot Gris '20,,,,,,"['Left', 'Coast', 'The', 'Orchards', 'Pinot', 'Gris', ""'20""]"
LEFT HAND 1265 PILSNER CAN 4/6PK 12Z,,,,,,"['LEFT', 'HAND', '1265', 'PILSNER', 'CAN', '4/6PK', '12Z']"
LEFT HAND IPA CAN 4/6PK 12Z,,,,,,"['LEFT', 'HAND', 'IPA', 'CAN', '4/6PK', '12Z']"
LEFT HAND MILK STOU NITRO CAN 4/6 13.65Z,,,,,,"['LEFT', 'HAND', 'MILK', 'STOU', 'NITRO', 'CAN', '4/6', '13.65Z']"
LEFT HAND MILK STOUTNITRO 5.17,,,,,,"['LEFT', 'HAND', 'MILK', 'STOUTNITRO', '5.17']"
Left Hand Nitro Milk Stout 1/2 BBL,,,,,,"['Left', 'Hand', 'Nitro', 'Milk', 'Stout', '1/2', 'BBL']"
Left Hand Nitro Milk Stout 1/6 BBL,,,,,,"['Left', 'Hand', 'Nitro', 'Milk', 'Stout', '1/6', 'BBL']"
LEFT HAND OKTOBERFEST KEG 15.5G,,,,,,"['LEFT', 'HAND', 'OKTOBERFEST', 'KEG', '15.5G']"
LEFT HAND PEANUT BUTTER MILK STOUT NITRO 5.17,,,,,,"['LEFT', 'HAND', 'PEANUT', 'BUTTER', 'MILK', 'STOUT', 'NITRO', '5.17']"
Legal Remedy: Pro Bono Porter 1/6 bbl,,,,,,"['Legal', 'Remedy:', 'Pro', 'Bono', 'Porter', '1/6', 'bbl']"
Legal Remedy: Wild Deed West Coast IPA 1/6 bbl,,,,,,"['Legal', 'Remedy:', 'Wild', 'Deed', 'West', 'Coast', 'IPA', '1/6', 'bbl']"
Legent Whiskey,,,,,,"['Legent', 'Whiskey']"
LEIN SHD 1/2BBL SUMMER,,,,,,"['LEIN', 'SHD', '1/2BBL', 'SUMMER']"
LEJON VERMOUTH DRY,,,,,,"['LEJON', 'VERMOUTH', 'DRY']"
LEJON VERMOUTH SWEET,,,,,,"['LEJON', 'VERMOUTH', 'SWEET']"
LEOPOLD BROS MI CHERRY WHISKEY NV,,,,,,"['LEOPOLD', 'BROS', 'MI', 'CHERRY', 'WHISKEY', 'NV']"
LEOPOLD BROS WHSKY SM BATCH 6B 750ML,,,,,,"['LEOPOLD', 'BROS', 'WHSKY', 'SM', 'BATCH', '6B', '750ML']"
Leopold Fernet Leopold Highland Amaro 80 PF,,,,,,"['Leopold', 'Fernet', 'Leopold', 'Highland', 'Amaro', '80', 'PF']"
Leopold Leopold Orange Liqueur 80 PF,,,,,,"['Leopold', 'Leopold', 'Orange', 'Liqueur', '80', 'PF']"
Leopold Leopold Summer Gin 94 PF,,,,,,"['Leopold', 'Leopold', 'Summer', 'Gin', '94', 'PF']"
Leroux Curacao Blue,,,,,,"['Leroux', 'Curacao', 'Blue']"
LES ESPERONS ROSE 12/750 ML,,,,,,"['LES', 'ESPERONS', 'ROSE', '12/750', 'ML']"
LES ESPERONS SAUVIGNON BLANC 12/750 ML,,,,,,"['LES', 'ESPERONS', 'SAUVIGNON', 'BLANC', '12/750', 'ML']"
LG IPA 2/12/12 CAN,,,,,,"['LG', 'IPA', '2/12/12', 'CAN']"
LG IPA 4/6/12 CAN,,,,,,"['LG', 'IPA', '4/6/12', 'CAN']"
LH MILK STOUT D 5.16G,,,,,,"['LH', 'MILK', 'STOUT', 'D', '5.16G']"
LH MILK STOUT NITRO D 5.16G,,,,,,"['LH', 'MILK', 'STOUT', 'NITRO', 'D', '5.16G']"
LHB NIT MILK STOUT CAN 4/6/13.65 OZ,,,,,,"['LHB', 'NIT', 'MILK', 'STOUT', 'CAN', '4/6/13.65', 'OZ']"
Liability:(1) Liab_1/6 bbl_Carl Von Cloudwitz,,,,,,"['Liability:(1)', 'Liab_1/6', 'bbl_Carl', 'Von', 'Cloudwitz']"
Liability:(1) Liab_1/6 bbl_Questions I Should've Asked From Day One,,,,,,"['Liability:(1)', 'Liab_1/6', 'bbl_Questions', 'I', ""Should've"", 'Asked', 'From', 'Day', 'One']"
"Liability:(1) Liab_1/6 bbl_Triple Dollar Bills, Y'all BBA",,,,,,"['Liability:(1)', 'Liab_1/6', 'bbl_Triple', 'Dollar', 'Bills,', ""Y'all"", 'BBA']"
Liability:(1) Liab_1/6 bbl_Ultra Secret Enigma with Passion Fruit and Key Lime,,,,,,"['Liability:(1)', 'Liab_1/6', 'bbl_Ultra', 'Secret', 'Enigma', 'with', 'Passion', 'Fruit', 'and', 'Key', 'Lime']"
LIBERTY SCHOOL CAB SAUV KEG 5GA,,,,,,"['LIBERTY', 'SCHOOL', 'CAB', 'SAUV', 'KEG', '5GA']"
Liberty School Cabernet Sauvignon,,,,,,"['Liberty', 'School', 'Cabernet', 'Sauvignon']"
LICOR 43,,,,,,"['LICOR', '43']"
MISC MESSAGE,,,,,,"['MISC', 'MESSAGE']"
Miscellaneous Charge/Adjustment,,,,,,"['Miscellaneous', 'Charge/Adjustment']"
Miscellaneous Tax,,,,,,"['Miscellaneous', 'Tax']"
Licor 43 Cuarenta Y Tres,,,,,,"['Licor', '43', 'Cuarenta', 'Y', 'Tres']"
LICOR 43 LIQ CHOCOLATE LTD ED 32 750ML,,,,,,"['LICOR', '43', 'LIQ', 'CHOCOLATE', 'LTD', 'ED', '32', '750ML']"
Licor Cuarenta Y Tres 43,,,,,,"['Licor', 'Cuarenta', 'Y', 'Tres', '43']"
Light,,,,,,['Light']
Lillet French White Apertif Wine,,,,,,"['Lillet', 'French', 'White', 'Apertif', 'Wine']"
LILLET ROSE 750ML,,,,,,"['LILLET', 'ROSE', '750ML']"
Lillet Rose Aperitif,,,,,,"['Lillet', 'Rose', 'Aperitif']"
Lincoln & South: Beach City Pilsner 1/2 bbl,,,,,,"['Lincoln', '&', 'South:', 'Beach', 'City', 'Pilsner', '1/2', 'bbl']"
Lincoln & South: Beach City Pilsner 1/6 bbl,,,,,,"['Lincoln', '&', 'South:', 'Beach', 'City', 'Pilsner', '1/6', 'bbl']"
Lincoln & South: Cran Slam Hard Seltzer 1/6 bbl,,,,,,"['Lincoln', '&', 'South:', 'Cran', 'Slam', 'Hard', 'Seltzer', '1/6', 'bbl']"
Lincoln & South: FLOP Pale Ale 1/6 bbl,,,,,,"['Lincoln', '&', 'South:', 'FLOP', 'Pale', 'Ale', '1/6', 'bbl']"
Lincoln & South: Hearts & Arrows IPA 1/2 bbl,,,,,,"['Lincoln', '&', 'South:', 'Hearts', '&', 'Arrows', 'IPA', '1/2', 'bbl']"
Lincoln & South: Hearts & Arrows IPA 1/6 bbl,,,,,,"['Lincoln', '&', 'South:', 'Hearts', '&', 'Arrows', 'IPA', '1/6', 'bbl']"
Lincoln & South: Juicy Too Fruited Sour 1/6 bbl,,,,,,"['Lincoln', '&', 'South:', 'Juicy', 'Too', 'Fruited', 'Sour', '1/6', 'bbl']"
LINDSEY   /   KYLE,,,,,,"['LINDSEY', '/', 'KYLE']"
LINE 39 CAB,,,,,,"['LINE', '39', 'CAB']"
Line 39 California Rose 12/375ml,,,,,,"['Line', '39', 'California', 'Rose', '12/375ml']"
Line 39 California Sauvignon Blanc 12/375ml,,,,,,"['Line', '39', 'California', 'Sauvignon', 'Blanc', '12/375ml']"
LINE 39 P NOIR +14,,,,,,"['LINE', '39', 'P', 'NOIR', '+14']"
LINE 39 PINOT NOIR 750.000 ML,,,,,,"['LINE', '39', 'PINOT', 'NOIR', '750.000', 'ML']"
Line 39 Sauvignon Blanc,,,,,,"['Line', '39', 'Sauvignon', 'Blanc']"
LINE 39 SPRITZ P NR BLK CH ALUM 6/4 250M,,,,,,"['LINE', '39', 'SPRITZ', 'P', 'NR', 'BLK', 'CH', 'ALUM', '6/4', '250M']"
LINE 39 SPRITZ ROSE STRWB ALUM 6/4 250ML,,,,,,"['LINE', '39', 'SPRITZ', 'ROSE', 'STRWB', 'ALUM', '6/4', '250ML']"
LINE 39 SPRITZ SV BL LEMN ALUM 6/4 250ML,,,,,,"['LINE', '39', 'SPRITZ', 'SV', 'BL', 'LEMN', 'ALUM', '6/4', '250ML']"
Listermann:LMN Brass Monkey 6/4/16 oz,,,,,,"['Listermann:LMN', 'Brass', 'Monkey', '6/4/16', 'oz']"
Listermann:LMN Pot O' Gold 1/6 bbl,,,,,,"['Listermann:LMN', 'Pot', ""O'"", 'Gold', '1/6', 'bbl']"
Listermann:LMN Shamrock Shake 1/6 bbl,,,,,,"['Listermann:LMN', 'Shamrock', 'Shake', '1/6', 'bbl']"
Listermann:LMN Still I Rise 6/4/16 oz,,,,,,"['Listermann:LMN', 'Still', 'I', 'Rise', '6/4/16', 'oz']"
Listermann:LMN Tap Handle Deposit,,,,,,"['Listermann:LMN', 'Tap', 'Handle', 'Deposit']"
LITE ON PREM 24/12 BTLS,,,,,,"['LITE', 'ON', 'PREM', '24/12', 'BTLS']"
LIVING CORAL SPKL MOSCATO ROSE 750ML,,,,,,"['LIVING', 'CORAL', 'SPKL', 'MOSCATO', 'ROSE', '750ML']"
Llords Amaretto,,,,,,"['Llords', 'Amaretto']"
Llords Blackberry Liqueur,,,,,,"['Llords', 'Blackberry', 'Liqueur']"
Llords Blue Curacao,,,,,,"['Llords', 'Blue', 'Curacao']"
Llords Peach Schnapps,,,,,,"['Llords', 'Peach', 'Schnapps']"
Llords Sour Apple,,,,,,"['Llords', 'Sour', 'Apple']"
LLords Sour Apple Liqueur 30Pf 12/1L,,,,,,"['LLords', 'Sour', 'Apple', 'Liqueur', '30Pf', '12/1L']"
Llords Triple Sec,,,,,,"['Llords', 'Triple', 'Sec']"
LLords Triple Sec Liqueur 30Pf 12/1L,,,,,,"['LLords', 'Triple', 'Sec', 'Liqueur', '30Pf', '12/1L']"
LO-FI APERITIFS DRY VERMOUTH,,,,,,"['LO-FI', 'APERITIFS', 'DRY', 'VERMOUTH']"
LO-FI APERITIFS GENTIAN AMARO,,,,,,"['LO-FI', 'APERITIFS', 'GENTIAN', 'AMARO']"
Lo-Fi Aperitifs Sweet Vermouth,,,,,,"['Lo-Fi', 'Aperitifs', 'Sweet', 'Vermouth']"
LO-FI BLUE WHT K 1/6BBL,,,,,,"['LO-FI', 'BLUE', 'WHT', 'K', '1/6BBL']"
LO-FI GLIT PNY K 1/6BBL,,,,,,"['LO-FI', 'GLIT', 'PNY', 'K', '1/6BBL']"
LO-FI IPA C24 12OZ 6P,,,,,,"['LO-FI', 'IPA', 'C24', '12OZ', '6P']"
LO-FI MEX LGR K 1/2BBL,,,,,,"['LO-FI', 'MEX', 'LGR', 'K', '1/2BBL']"
LO-FI MEX LGR K 1/6BBL,,,,,,"['LO-FI', 'MEX', 'LGR', 'K', '1/6BBL']"
Lokoya Cabernet Sauvignon Howell Mountain,,,,,,"['Lokoya', 'Cabernet', 'Sauvignon', 'Howell', 'Mountain']"
LOMBARDO MARSALA 421 750ML,,,,,,"['LOMBARDO', 'MARSALA', '421', '750ML']"
Lombardo Marsala Sweet,,,,,,"['Lombardo', 'Marsala', 'Sweet']"
London Dry Gin (Single - 750ml - Bottle),,,,,,"['London', 'Dry', 'Gin', '(Single', '-', '750ml', '-', 'Bottle)']"
